name,Ar_0.001,Ar_0.01,Ar_0.1,Ar_1.0,Ar_10.0,Ar_100.0,Ar_1000.0,Ar_2000.0,Ar_4000.0,Ar_6000.0,Ar_8000.0,Ar_10000.0,Ar_12000.0,Ar_14000.0,Ar_16000.0,Ar_18000.0,Ar_20000.0,Ar_24000.0,Ar_28000.0,Ar_30000.0,Ar_32000.0,Ar_36000.0,Ar_40000.0,Ar_50000.0,Ar_60000.0,Ar_70000.0,Ar_80000.0,Ar_90000.0,Ar_100000.0,pld,lcd,surface_area_m2cm3,surface_area_m2g,void_fraction,length_a,length_b,length_c,angle_alpha,angle_beta,angle_gamma
HASNUN_clean-(id_177188),0.001044,0.0113417,0.115267,1.10645,12.6829,122.559,167.779,171.617,177.945,180.526,184.454,186.654,187.752,188.889,191.282,192.295,193.361,192.173,197.69,195.059,198.602,196.641,198.579,200.356,202.749,205.285,206.653,205.726,204.224,4.52225,5.53374,1549.27,903.767,0.5698,10.0532,17.7273,14.4451,90,99.1201,90
HATZOS02_clean-(id_177191),0.742851,7.52039,51.6467,90.0401,115.234,141.225,154.469,159.007,163.521,165.063,164.79,169.48,167.15,171.661,170.391,171.925,173.587,173.866,175.368,176.555,175.279,178.534,178.078,181.206,180.392,181.252,183.213,184.505,182.372,4.0805,4.8576,1110.97,843.373,0.544,10.2364,10.2364,28.109,90,90,90
HATZOS_clean-(id_177190),0.756068,7.73172,51.2646,89.7384,117.901,140.924,154.859,157.298,161.602,165.298,166.352,167.374,169.772,171.893,169.467,172.081,171.719,175.092,175.678,177.208,177.445,179.909,177.887,179.947,184.492,181.951,183.525,184.495,181.938,4.07746,4.85832,1116.79,847.521,0.531,10.2355,10.2355,28.105,90,90,90
HAVVUX_clean-(id_177192),0.0153433,0.135773,1.34286,25.3752,81.785,94.6391,102.892,104.179,103.97,105.911,106.733,107.796,108.496,107.627,108.625,108.936,108.164,107.239,109.266,108.342,109.142,108.874,109.386,109.724,109.227,110.789,109.778,109.011,110.077,6.74867,8.34589,955.771,430.794,0.5032,14.849,14.849,21.806,90,90,120
HAVZIP_clean-(id_177194),0.000276946,0.00276946,0.0379416,0.364046,3.76785,39.5402,1052.45,1270.75,1349.46,1377.46,1391.83,1405.94,1423.38,1432.28,1446.73,1452.29,1454.94,1465.66,1474.02,1471.18,1473.74,1480.1,1491.97,1504.78,1514.78,1517.74,1529.98,1532.45,1545.85,9.6087,12.9546,1954.8,4689.52,0.815,15.1316,24.7369,15.3613,90,110.847,90
HAWGIX_charged-(id_177195),2.66011,19.8144,81.1651,119.255,143.627,164.749,179.004,183.764,182.596,186.375,186.463,186.456,186.934,186.23,187.054,186.13,187.267,187.286,186.942,187.263,186.814,187.22,187.068,187.286,187.306,186.615,187.276,187.281,187.284,4.41484,6.23164,1022.84,759.553,0.4892,10.2700,16.5940,28.6830,90.0000,90.0000,104.9640
HAWGIY_clean-(id_177196),26.6703,45.1173,63.555,69.9194,70.9251,71.2093,71.2093,71.2093,71.2093,71.2093,71.2093,71.3267,71.2093,71.2093,71.2093,71.2093,71.2093,71.2104,71.2093,71.3561,71.2093,71.2094,71.2941,71.2093,71.2093,71.2362,71.3518,71.2756,71.6283,3.76376,4.9936,587.725,378.89,0.3948,11.665,13.915,17.343,95.514,99.792,101.313
HAWREE_clean-(id_177197),2.95666,26.2421,101.248,178.513,197.126,215.424,228.303,232.611,233.543,234.702,237.289,237.488,238.411,239.424,240.59,240.932,239.254,240.612,241.875,242.536,242.288,242.688,243.064,243.158,242.37,242.369,242.622,242.855,242.648,4.26157,5.95677,1394.9,1077.46,0.5154,11.1053,12.5767,20.0751,82.8400,77.7650,79.2580
HAWVAE_clean-(id_177198),0.792335,8.18105,77.783,109.933,115.113,125.441,143.185,144.706,153.98,156.634,162.899,165.428,169.071,170.092,171.914,171.766,171.685,174.803,175.148,176.529,176.15,177.877,176.256,177.672,178.573,178.331,177.172,177.752,178.257,3.75459,5.43472,1218.49,774.765,0.5248,11.6054,16.2662,12.0479,90,112.497,90
HAWVEI_clean-(id_177199),0.596626,6.36037,64.3083,111.93,120.531,133.454,147.432,161.461,160.702,173.259,174.269,178.85,182.522,180.902,179.729,179.912,182.3,183.622,184.03,182.513,182.468,182.482,181.865,183.828,184.544,183.403,184.738,184.677,184.555,3.7649,5.44774,1222.23,810.136,0.526,11.6005,16.4488,12.0828,90,112.295,90
